player,team,position,age,PPR_raw,PPR,pos_rank,overall_rank,games_played,games_started,pass_completion,pass_attempt,pass_yards,pass_td,interception,rush_attempt,rush_yards,rush_yards_per_attempt,rush_td,rec_target,rec,rec_yards,yards_per_reception,rec_td,fumble,fumble_lost,total_td,tpc,tpp
Saquon Barkley*+,PHI,RB,27,355.3,355.30,1,1,16,16,0,0,0,0,0,345,2005,5.81,13,43,33,278,8.42,2,2,1,15,3,
Derrick Henry*,BAL,RB,30,336.4,316.61,2,2,17,17,0,0,0,0,0,325,1921,5.91,16,22,19,193,10.16,2,3,1,18,,
Jahmyr Gibbs*,DET,RB,22,362.9,341.55,3,3,17,4,0,0,0,0,0,250,1412,5.65,16,63,52,517,9.94,4,1,1,20,,
Lamar Jackson*+,BAL,QB,27,430.4,405.08,1,4,17,17,316,474,4172,41,4,139,915,6.58,4,0,0,0,,0,10,5,4,1,
Ja'Marr Chase*+,CIN,WR,24,403,379.29,1,5,17,16,0,0,0,0,0,3,32,10.67,0,175,127,1708,13.45,17,0,0,17,,
Bijan Robinson*,ATL,RB,22,341.7,321.60,4,6,17,17,0,0,0,0,0,304,1456,4.79,14,72,61,431,7.07,1,1,0,15,1,
Josh Jacobs*,GNB,RB,26,293.1,275.86,5,7,17,17,0,0,0,0,0,301,1329,4.42,15,43,36,342,9.5,1,4,3,16,,
Josh Allen*,BUF,QB,28,379,356.71,2,8,17,17,307,483,3731,28,6,102,531,5.21,12,0,0,7,,1,5,2,13,,1
Joe Burrow*,CIN,QB,28,372.8,350.87,3,9,17,17,460,652,4918,43,9,42,201,4.79,2,0,0,0,,0,11,5,2,,
Kyren Williams,LAR,RB,24,272.1,272.10,6,10,16,16,0,0,0,0,0,316,1299,4.11,14,40,34,182,5.35,2,5,3,16,,
James Cook*,BUF,RB,25,266.7,266.70,7,11,16,16,0,0,0,0,0,207,1009,4.87,16,38,32,258,8.06,2,1,0,18,,
Justin Jefferson*+,MIN,WR,25,317.5,298.82,2,12,17,17,1,1,22,0,0,1,3,3,0,154,103,1533,14.88,10,1,0,10,,
Baker Mayfield*,TAM,QB,29,365.8,344.28,4,13,17,17,407,570,4500,41,16,60,378,6.3,3,0,0,0,,0,13,2,3,,1
Jonathan Taylor*,IND,RB,25,244.7,244.70,8,14,14,13,0,0,0,0,0,303,1431,4.72,11,31,18,136,7.56,1,4,1,12,,
George Kittle*,SFO,TE,31,236.6,236.60,1,15,15,15,0,0,0,0,0,0,0,,0,94,78,1106,14.18,8,0,0,8,,
Jayden Daniels*,WAS,QB,24,355.8,334.87,5,16,17,17,331,480,3568,25,9,148,891,6.02,6,0,0,0,,0,5,0,6,1,2
De'Von Achane,MIA,RB,23,299.9,282.26,9,17,17,16,0,0,0,0,0,203,907,4.47,6,87,78,592,7.59,6,1,0,12,,
Amon-Ra St. Brown*+,DET,WR,25,316.2,297.60,3,18,17,17,1,1,7,1,0,2,6,3,0,141,115,1263,10.98,12,1,1,12,,
Brian Thomas*,JAX,WR,22,284,267.29,4,19,17,16,0,0,0,0,0,6,48,8,0,133,87,1282,14.74,10,0,0,10,2,
Brock Bowers*+,LVR,TE,22,262.7,247.25,2,20,17,16,0,0,0,0,0,5,13,2.6,0,153,112,1194,10.66,5,0,0,5,,
James Conner,ARI,RB,29,253.8,253.80,10,21,16,16,0,0,0,0,0,236,1094,4.64,8,55,47,414,8.81,1,4,1,9,2,
Joe Mixon*,HOU,RB,28,240.5,240.50,11,22,14,14,0,1,0,0,0,245,1016,4.15,11,52,36,309,8.58,1,0,0,12,,
Terry McLaurin*,WAS,WR,29,267.8,252.05,5,23,17,17,0,0,0,0,0,2,2,1,0,117,82,1096,13.37,13,1,1,13,,
Trey McBride*,ARI,TE,25,249.8,249.80,3,24,16,16,0,0,0,0,0,1,2,2,1,147,111,1146,10.32,2,0,0,4,,
Chase Brown,CIN,RB,24,255,255.00,12,25,16,10,0,0,0,0,0,229,990,4.32,7,65,54,360,6.67,4,2,1,11,1,
Drake London,ATL,WR,23,280.8,264.28,6,26,17,17,0,0,0,0,0,1,-3,-3,0,158,100,1271,12.71,9,0,0,9,,
Chuba Hubbard,CAR,RB,25,241.6,241.60,13,27,15,15,0,0,0,0,0,250,1195,4.78,10,54,43,171,3.98,1,4,3,11,1,
Jonnu Smith*,MIA,TE,29,222.3,209.22,4,28,17,6,0,0,0,0,0,2,-1,-0.5,0,111,88,884,10.05,8,2,1,8,,
Mark Andrews,BAL,TE,29,188.8,177.69,5,29,17,13,0,0,0,0,0,4,5,1.25,0,69,55,673,12.24,11,0,0,11,,
Bucky Irving,TAM,RB,22,244.4,230.02,14,30,17,3,0,0,0,0,0,207,1122,5.42,8,52,47,392,8.34,0,2,1,8,,
Alvin Kamara,NOR,RB,29,265.3,265.30,15,31,14,14,0,0,0,0,0,228,950,4.17,6,89,68,543,7.99,2,1,0,8,,
Aaron Jones,MIN,RB,30,241.6,227.39,16,32,17,17,0,0,0,0,0,255,1138,4.46,5,62,51,408,8,2,5,3,7,,
Jared Goff*,DET,QB,30,324.5,305.41,6,33,17,17,390,539,4629,37,12,35,56,1.6,0,1,1,7,7,1,6,0,1,,1
David Montgomery,DET,RB,27,221.7,221.70,17,34,14,14,1,1,3,1,0,185,775,4.19,12,38,36,341,9.47,0,2,1,12,,
Mike Evans*,TAM,WR,31,240.4,240.40,7,35,14,14,0,0,0,0,0,0,0,,0,110,74,1004,13.57,11,0,0,11,,
Breece Hall,NYJ,RB,23,240.9,240.90,18,36,16,16,0,0,0,0,0,209,876,4.19,5,76,57,483,8.47,3,6,2,8,2,
