name,team,position,projection
Josh Allen,BUF,QB,345.7
Lamar Jackson,BAL,QB,345.5
Jayden Daniels,WAS,QB,344.2
Jalen Hurts,PHI,QB,330.8
Joe Burrow,CIN,QB,325.4
Patrick Mahomes II,KC,QB,302.9
Baker Mayfield,TB,QB,293.5
Kyler Murray,ARI,QB,291.6
Bo Nix,DEN,QB,285.8
Brock Purdy,SF,QB,281.7
Saquon Barkley,PHI,RB,278.5
Justin Fields,NYJ,QB,275
Justin Herbert,LAC,QB,271.2
Caleb Williams,CHI,QB,269.4
Jared Goff,DET,QB,267.3
Drake Maye,NE,QB,266.4
Dak Prescott,DAL,QB,265.9
C.J. Stroud,HOU,QB,265.3
Jordan Love,GB,QB,263.5
Trevor Lawrence,JAC,QB,262.9
J.J. McCarthy,MIN,QB,259.3
Bijan Robinson,ATL,RB,259
Ja'Marr Chase,CIN,WR,257.9
Tua Tagovailoa,MIA,QB,257.9
Jahmyr Gibbs,DET,RB,256.7
Matthew Stafford,LAR,QB,256.2
Michael Penix Jr.,ATL,QB,252.6
Derrick Henry,BAL,RB,251.7
Bryce Young,CAR,QB,249.8
Ashton Jeanty,LV,RB,248.8
Justin Jefferson,MIN,WR,248.3
Christian McCaffrey,SF,RB,248.1
Geno Smith,LV,QB,247.1
De'Von Achane,MIA,RB,242.6
Cameron Ward,TEN,QB,241
Anthony Richardson Sr.,IND,QB,239.7
Jonathan Taylor,IND,RB,234.7
Bucky Irving,TB,RB,230.3
CeeDee Lamb,DAL,WR,229.7
Sam Darnold,SEA,QB,229.3
Josh Jacobs,GB,RB,228
Puka Nacua,LAR,WR,227.8
Kyren Williams,LAR,RB,225.1
Breece Hall,NYJ,RB,224.4
Malik Nabers,NYG,WR,223.7
James Cook,BUF,RB,216.9
Chase Brown,CIN,RB,216.9
Amon-Ra St. Brown,DET,WR,216.4
Brian Thomas Jr.,JAC,WR,216
Joe Mixon,HOU,RB,215.3
Brock Bowers,LV,TE,215.3
Nico Collins,HOU,WR,210.3
Kenneth Walker III,SEA,RB,209.2
Chuba Hubbard,CAR,RB,208.3
Trey McBride,ARI,TE,205.1
Alvin Kamara,NO,RB,204.1
A.J. Brown,PHI,WR,201.3
Omarion Hampton,LAC,RB,200.9
Drake London,ATL,WR,200.6
Tee Higgins,CIN,WR,199.1
Jaxon Smith-Njigba,SEA,WR,197.2
Tyreek Hill,MIA,WR,194.9
James Conner,ARI,RB,194.6
Jaxson Dart,NYG,QB,192.6
Terry McLaurin,WAS,WR,190.3
David Montgomery,DET,RB,190.2
Garrett Wilson,NYJ,WR,189.5
Marvin Harrison Jr.,ARI,WR,188.3
RJ Harvey,DEN,RB,187.7
DJ Moore,CHI,WR,185.4
Daniel Jones,IND,QB,183.1
Aaron Jones Sr.,MIN,RB,181.4
Davante Adams,LAR,WR,180
Mike Evans,TB,WR,178.4
George Kittle,SF,TE,178.1
Tyler Shough,NO,QB,176.6
TreVeyon Henderson,NE,RB,176.3
D'Andre Swift,CHI,RB,176.1
Xavier Worthy,KC,WR,176.1
Joe Flacco,CLE,QB,175.7
Ladd McConkey,LAC,WR,175.4
Tony Pollard,TEN,RB,173.6
Brandon Aubrey,DAL,K,173
Tetairoa McMillan,CAR,WR,172.1
DeVonta Smith,PHI,WR,172
Kaleb Johnson,PIT,RB,171.8
Quinshon Judkins,CLE,RB,171.1
Isiah Pacheco,KC,RB,171
Cam Skattebo,NYG,RB,170.2
DK Metcalf,PIT,WR,168.3
Rashee Rice,KC,WR,168.2
Zay Flowers,BAL,WR,168.1
Courtland Sutton,DEN,WR,168
Cameron Dicker,LAC,K,167
Jameson Williams,DET,WR,164.5
Wil Lutz,DEN,K,164.3
Sam LaPorta,DET,TE,164.3
Travis Hunter,JAC,WR,163.2
Jaylen Waddle,MIA,WR,162.5
Chris Olave,NO,WR,162.5
Jerry Jeudy,CLE,WR,162
Jordan Addison,MIN,WR,161.8
Calvin Ridley,TEN,WR,161.3
Ka'imi Fairbairn,HOU,K,159.1
George Pickens,DAL,WR,158.7
Brian Robinson Jr.,WAS,RB,158.4
Jaylen Warren,PIT,RB,157.1
Rome Odunze,CHI,WR,155.9
Chris Godwin,TB,WR,155.8
Deebo Samuel Sr.,WAS,WR,155.3
Tyrone Tracy Jr.,NYG,RB,155.2
Travis Etienne Jr.,JAC,RB,155
Jauan Jennings,SF,WR,153.3
Jakobi Meyers,LV,WR,153.1
Khalil Shakir,BUF,WR,152
Evan McPherson,CIN,K,149.8
Harrison Butker,KC,K,149.1
Stefon Diggs,NE,WR,148.2
Ricky Pearsall,SF,WR,148.2
Matthew Golden,GB,WR,147.9
T.J. Hockenson,MIN,TE,147.9
Jake Elliott,PHI,K,147.9
Jayden Reed,GB,WR,147.7
Javonte Williams,DAL,RB,146.2
Travis Kelce,KC,TE,146.1
Tyler Bass,BUF,K,144.9
Cooper Kupp,SEA,WR,144.6
Josh Downs,IND,WR,143.9
Jonnu Smith,MIA,TE,141.9
Chase McLaughlin,TB,K,141.4
Darnell Mooney,ATL,WR,141.3
Rashid Shaheed,NO,WR,141.1
Jake Bates,DET,K,140.4
Tyler Loop,BAL,K,138.8
Mark Andrews,BAL,TE,138.6
Chad Ryland,ARI,K,137.3
Brandon Aiyuk,SF,WR,137
Keon Coleman,BUF,WR,136.5
Zach Charbonnet,SEA,RB,135.6
Younghoe Koo,ATL,K,135.3
Michael Pittman Jr.,IND,WR,133.2
Tank Bigsby,JAC,RB,132.9
Joshua Karty,LAR,K,131.9
Brandon McManus,GB,K,130.7
Rhamondre Stevenson,NE,RB,130.2
Emeka Egbuka,TB,WR,129.8
Tre Harris,LAC,WR,128.8
Chris Boswell,PIT,K,128.4
