name,position,team,projection
Ja'Marr Chase,WR,CIN,402
Bijan Robinson,RB,ATL,373
CeeDee Lamb,WR,DAL,379
Saquon Barkley,RB,PHI,369
Justin Jefferson,WR,MIN,385
Puka Nacua,WR,LAR,380
Christian McCaffrey,RB,SF,374
Jahmyr Gibbs,RB,DET,370
Malik Nabers,WR,NYG,366
Nico Collins,WR,HOU,360
Brian Thomas Jr.,WR,JAC,361
Ashton Jeanty,RB,LVR,362
Jonathan Taylor,RB,IND,354
De'Von Achane,RB,MIA,325
Derrick Henry,RB,BAL,333
Amon-Ra St. Brown,WR,DET,357
A.J. Brown,WR,PHI,341
Drake London,WR,ATL,330
Tee Higgins,WR,CIN,321
Tyreek Hill,WR,MIA,345
Breece Hall,RB,NYJ,339
Alvin Kamara,RB,NO,306
Chase Brown,RB,CIN,325
Brock Bowers,TE,LVR,291
Josh Jacobs,RB,GB,297
Bucky Irving,RB,TB,296
Trey McBride,TE,ARI,281
Joe Mixon,RB,HOU,298
Rashee Rice,WR,KC,336
Lamar Jackson,QB,BAL,424
Jayden Daniels,QB,WAS,423
Xavier Worthy,WR,KC,322
Kyren Williams,RB,LAR,314
Ladd McConkey,WR,LAC,324
Josh Allen,QB,BUF,427
Jalen Hurts,QB,PHI,420
Mike Evans,WR,TB,288
Kenneth Walker III,RB,SEA,291
James Cook,RB,BUF,284
Chuba Hubbard,RB,CAR,282
Davante Adams,WR,LAR,298
James Conner,RB,ARI,279
Garrett Wilson,WR,NYJ,305
George Kittle,TE,SF,273
D.J. Moore,WR,CHI,293
D.K. Metcalf,WR,PIT,283
Jaxon Smith-Njigba,WR,SEA,281
Terry McLaurin,WR,WAS,274
Marvin Harrison Jr.,WR,ARI,294
DeVonta Smith,WR,PHI,277
Joe Burrow,QB,CIN,390
Jaylen Waddle,WR,MIA,280
Zay Flowers,WR,BAL,260
Tetairoa McMillan,WR,CAR,290
Aaron Jones,RB,MIN,256
Courtland Sutton,WR,DEN,260
Jauan Jennings,WR,SF,284
Sam LaPorta,TE,DET,255
Travis Hunter,WR,JAC,314
David Montgomery,RB,DET,266
Chris Godwin,WR,TB,290
George Pickens,WR,DAL,277
Chris Olave,WR,NO,281
Jameson Williams,WR,DET,275
Isiah Pacheco,RB,KC,276
Omarion Hampton,RB,LAC,284
Travis Kelce,TE,KC,229
Quinshon Judkins,RB,CLE,269
D'Andre Swift,RB,CHI,269
Tony Pollard,RB,TEN,260
Calvin Ridley,WR,TEN,247
