name,position,team,projetion
Ja'Marr Chase,WR,CIN,296.8
CeeDee Lamb,WR,DAL,278.3
Justin Jefferson,WR,MIN,278.1
Puka Nacua,WR,LA,274.2
Amon-Ra St. Brown,WR,DET,271.7
Malik Nabers,WR,NYG,262.5
Saquon Barkley,RB,PHI,275
Bijan Robinson,RB,ATL,272.5
Nico Collins,WR,HOU,247.7
Brian Thomas,WR,JAC,245.5
Jahmyr Gibbs,RB,DET,264.8
A.J. Brown,WR,PHI,242.7
Drake London,WR,ATL,240.9
Ladd McConkey,WR,LAC,232.1
Devon Achane,RB,MIA,252.9
Christian McCaffrey,RB,SF,248.4
Ashton Jeanty,RB,LV,248
Tyreek Hill,WR,MIA,221
Jaxon Smith-Njigba,WR,SEA,219.5
Tee Higgins,WR,CIN,218.9
Bucky Irving,RB,TB,239.7
Derrick Henry,RB,BAL,236.3
Terry McLaurin,WR,WAS,214.1
D.J. Moore,WR,CHI,211.6
Davante Adams,WR,LA,210.3
Rashee Rice,WR,KC,208.8
Josh Jacobs,RB,GB,229.2
Brock Bowers,TE,LV,229.4
Kyren Williams,RB,LA,227.4
Garrett Wilson,WR,NYJ,206.2
Marvin Harrison,WR,ARI,205.3
Mike Evans,WR,TB,203.5
Chase Brown,RB,CIN,223.5
Jonathan Taylor,RB,IND,222.5
Trey McBride,TE,ARI,222.6
Zay Flowers,WR,BAL,200.2
Xavier Worthy,WR,KC,200.2
D.K. Metcalf,WR,PIT,198.3
Jameson Williams,WR,DET,196.7
Courtland Sutton,WR,DEN,196
DeVonta Smith,WR,PHI,195.3
Breece Hall,RB,NYJ,213.4
Lamar Jackson,QB,BAL,345.2
Josh Allen,QB,BUF,345
James Cook,RB,BUF,211.4
Calvin Ridley,WR,TEN,189.8
Alvin Kamara,RB,NO,210.3
Travis Hunter,WR,JAC,186.8
Tetairoa McMillan,WR,CAR,186.1
Jauan Jennings,WR,SF,185
Jerry Jeudy,WR,CLE,184.5
Jaylen Waddle,WR,MIA,184
Kenneth Walker III,RB,SEA,203.9
George Pickens,WR,DAL,182.5
Joe Mixon,RB,HOU,201.1
Chris Olave,WR,NO,179.4
Chuba Hubbard,RB,CAR,199.7
Jakobi Meyers,WR,LV,178.7
James Conner,RB,ARI,197.1
Khalil Shakir,WR,BUF,175.5
Omarion Hampton,RB,LAC,193.9
Deebo Samuel,WR,WAS,173
Jordan Addison,WR,MIN,172.2
Stefon Diggs,WR,NE,170.3
George Kittle,TE,SF,190.5
Jayden Daniels,QB,WAS,321.2
Jalen Hurts,QB,PHI,320.6
Jayden Reed,WR,GB,164.8
Michael Pittman,WR,IND,164.1
Darnell Mooney,WR,ATL,163.3
Rome Odunze,WR,CHI,162.9
Cooper Kupp,WR,SEA,162.9
Chris Godwin,WR,TB,161
David Montgomery,RB,DET,181.5
Aaron Jones,RB,MIN,181.1
Josh Downs,WR,IND,159.7
Matthew Golden,WR,GB,158.9
Sam LaPorta,TE,DET,178.1
Tony Pollard,RB,TEN,176.9
TreVeyon Henderson,RB,NE,173.7
D'Andre Swift,RB,CHI,173.4
RJ Harvey,RB,DEN,172.6
Ricky Pearsall,WR,SF,147.3
Kaleb Johnson,RB,PIT,165.9
Keon Coleman,WR,BUF,142.7
Tyrone Tracy,RB,NYG,162.6
Emeka Egbuka,WR,TB,138.4
Travis Kelce,TE,KC,164.2
Quinshon Judkins,RB,CLE,160.5
Adam Thielen,WR,CAR,136.1
Cedric Tillman,WR,CLE,134.8
Brian Robinson,RB,WAS,156.8
Rashid Shaheed,WR,NO,133.6
Joe Burrow,QB,CIN,294.6
Jonnu Smith,TE,MIA,161.4
Rashod Bateman,WR,BAL,132.5
Christian Kirk,WR,HOU,130.8
Michael Wilson,WR,ARI,130.5
Marvin Mims,WR,DEN,128.8
Brandon Aiyuk,WR,SF,128.6
Tre Harris,WR,LAC,128
Wan'Dale Robinson,WR,NYG,128
Romeo Doubs,WR,GB,127.8
Luther Burden,WR,CHI,127.6
TJ Hockenson,TE,MIN,158.8
Kyle Williams,WR,NE,127.5
Jayden Higgins,WR,HOU,127.2
Marquise Brown,WR,KC,124.6
Jack Bech,WR,LV,124.6
Jaylen Warren,RB,PIT,146.4
Demario Douglas,WR,NE,120
Mark Andrews,TE,BAL,153.9
Josh Palmer,WR,BUF,117.4
David Njoku,TE,CLE,153.3
Rachaad White,RB,TB,139.3
Xavier Legette,WR,CAR,115.5
Zach Charbonnet,RB,SEA,137.9
Najee Harris,RB,LAC,137.7
Jalen McMillan,WR,TB,114.6
Calvin Austin,WR,PIT,114.5
Darius Slayton,WR,NYG,113.9
Quentin Johnston,WR,LAC,113.4
Baltimore Defense,DEF,BAL,130.9
Patrick Mahomes II,QB,KC,284.3
Harrison Butker,K,KC,146.5
Ray-Ray McCloud,WR,ATL,111.4
DeAndre Hopkins,WR,BAL,110.5
